0075,u,U,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER U",accepted,,0,,"2025-09-25 09:37:49",https://mufi.info/q.php?p=mufi/chars/unichar/117
0076,v,V,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER V",accepted,,0,,"2025-09-25 09:37:50",https://mufi.info/q.php?p=mufi/chars/unichar/118
0077,w,W,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER W",accepted,,0,,"2025-09-25 09:37:50",https://mufi.info/q.php?p=mufi/chars/unichar/119
0078,x,X,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER X",accepted,,0,,"2025-09-25 09:37:50",https://mufi.info/q.php?p=mufi/chars/unichar/120
0079,y,Y,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER Y",accepted,,0,,"2025-09-25 09:37:50",https://mufi.info/q.php?p=mufi/chars/unichar/121
007A,z,Z,&;,0,,,BasLat,3.0,"LATIN SMALL LETTER Z",accepted,,0,,"2025-09-25 09:37:50",https://mufi.info/q.php?p=mufi/chars/unichar/122
007B,{,_punctuation,&lcub;,0,,,BasLat,3.0,"LEFT CURLY BRACKET",accepted,,0,,"2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/123
007C,|,_punctuation,&verbar;,0,,,BasLat,3.0,"VERTICAL LINE",accepted,,0,,"2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/124
007D,},_punctuation,&rcub;,0,,,BasLat,3.0,"RIGHT CURLY BRACKET",accepted,,0,,"2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/125
007E,~,_spacing,&tld;,1,,,BasLat,3.0,TILDE,accepted,,0,,"2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/126
00A0, ,_formatting,&nbsp;,0,,,Lat1Suppl,3.0,"NO-BREAK SPACE",accepted,,0," ","2023-04-28 08:55:02",https://mufi.info/q.php?p=mufi/chars/unichar/160
00A1,¡,_punctuation,&iexcl;,0,,,Lat1Suppl,3.0,"INVERTED EXCLAMATION MARK",accepted,,0,,"2025-09-25 09:37:42",https://mufi.info/q.php?p=mufi/chars/unichar/161
00A2,¢,_symbols,&cent;,0,,,Lat1Suppl,3.0,"CENT SIGN",accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/162
00A3,£,_symbols,&pound;,0,,,Lat1Suppl,3.0,"POUND SIGN",accepted,,0,,"2025-09-25 09:37:48",https://mufi.info/q.php?p=mufi/chars/unichar/163
00A4,¤,_symbols,&curren;,0,,,Lat1Suppl,3.0,"CURRENCY SIGN",accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/164
00A5,¥,_symbols,&yen;,0,,,Lat1Suppl,3.0,"YEN SIGN",accepted,,0,,"2025-09-25 09:37:50",https://mufi.info/q.php?p=mufi/chars/unichar/165
00A6,¦,_punctuation,&brvbar;,0,,,Lat1Suppl,3.0,"BROKEN BAR",accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/166
00A7,§,_symbols,&sect;,0,,,Lat1Suppl,3.0,"SECTION SIGN",accepted,,0,,"2025-09-25 09:37:48",https://mufi.info/q.php?p=mufi/chars/unichar/167
00A8,¨,_spacing,&uml;,0,,,Lat1Suppl,3.0,DIAERESIS,accepted,,0,"The entities ‘&amp;die;’ and ‘&amp;Ddot;’ are also being used for this character.","2025-09-25 09:37:41",https://mufi.info/q.php?p=mufi/chars/unichar/168
00A9,©,_symbols,&copy;,0,,,Lat1Suppl,3.0,"COPYRIGHT SIGN",accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/169
00AA,ª,A,&ordf;,0,,,Lat1Suppl,3.0,"FEMININE ORDINAL INDICATOR",accepted,,0,,"2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/170
00AB,«,_punctuation,&laquo;,0,,,Lat1Suppl,3.0,"LEFT-POINTING DOUBLE ANGLE QUOTATION MARK",accepted,,0,,"2025-09-25 09:37:43",https://mufi.info/q.php?p=mufi/chars/unichar/171
